BioWare Version 5.3.0.7 Export
Device:	P 9260AA6	P 9260AA6	P 9260AA6	P 9260AA6
Samples (#):	30000	30000	30000	30000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	16	16	16	16
Contact period end (sample #):	29990	29990	29990	29990
Contact period start time (s):	0.016000	0.016000	0.016000	0.016000
Contact period end time (s):	29.990000	29.990000	29.990000	29.990000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	952.554260	952.554260	952.554260	952.554260
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
File Information
Date	Dec 14, 2019  10:15:48
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay	COM sx	COM sy
	m	m	m	m
0.204000	-17.012374	1.937926	0.000109	0.000007
0.205000	-17.012374	1.937926	0.000109	0.000007
0.206000	-17.012374	1.937926	0.000110	0.000007
0.207000	-17.012374	1.937926	0.000110	0.000007
0.208000	-18.681299	0.820710	0.000111	0.000007
0.209000	-17.012374	1.937926	0.000111	0.000008
0.210000	-17.012374	1.937926	0.000112	0.000008
0.211000	-17.012374	1.937926	0.000112	0.000008
0.212000	-17.012374	1.937926	0.000113	0.000008
0.213000	-17.012374	1.937926	0.000113	0.000008
0.214000	-17.012374	1.937926	0.000114	0.000008
0.215000	-17.525357	2.167474	0.000114	0.000009
0.216000	-18.088082	1.790608	0.000115	0.000009
0.217000	-17.012374	1.937926	0.000115	0.000009
0.218000	-17.012374	1.937926	0.000115	0.000009
0.219000	-20.266274	-1.798287	0.000116	0.000009
0.220000	-20.181722	3.960988	0.000116	0.000009
0.221000	-17.120445	2.175845	0.000117	0.000010
0.222000	-17.012374	1.937926	0.000117	0.000010
0.223000	-17.197407	1.583797	0.000118	0.000010
0.224000	-17.012374	1.937926	0.000118	0.000010
0.225000	-17.385157	2.687646	0.000118	0.000010
0.226000	-16.635232	2.066808	0.000119	0.000010
0.227000	-17.012374	1.937926	0.000119	0.000011
0.228000	-17.012374	1.937926	0.000120	0.000011
0.229000	-18.093131	1.598781	0.000120	0.000011
0.230000	-17.012374	1.937926	0.000120	0.000011
0.231000	-17.119119	2.005302	0.000121	0.000011
0.232000	-16.946763	2.392885	0.000121	0.000012
0.233000	-18.632119	2.070231	0.000122	0.000012
0.234000	-18.075401	2.080313	0.000122	0.000012
0.235000	-17.136229	1.896361	0.000122	0.000012
0.236000	-17.012374	1.937926	0.000123	0.000012
0.237000	-17.349125	2.160297	0.000123	0.000012
0.238000	-16.902432	1.947860	0.000123	0.000013
0.239000	-17.217640	1.827846	0.000124	0.000013
0.240000	-17.332079	1.420132	0.000124	0.000013
0.241000	-17.169009	2.070961	0.000124	0.000013
0.242000	-17.012374	1.937926	0.000125	0.000013
0.243000	-17.210398	2.178792	0.000125	0.000014
