BioWare Version 5.3.0.7 Export
Device:	P 9260AA6	P 9260AA6	P 9260AA6	P 9260AA6
Samples (#):	30000	30000	30000	30000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2	2	2	2
Contact period end (sample #):	29998	29998	29998	29998
Contact period start time (s):	0.002000	0.002000	0.002000	0.002000
Contact period end time (s):	29.997999	29.997999	29.997999	29.997999
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	705.564941	705.564941	705.564941	705.564941
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
File Information
Date	Dec 14, 2019  11:47:58
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay	COM sx	COM sy
	m	m	m	m
0.196000	-11.089124	18.912708	0.000117	-0.000381
0.197000	-5.058380	-9.578082	0.000119	-0.000386
0.198000	-5.058380	-9.578082	0.000120	-0.000390
0.199000	-10.239051	18.385421	0.000121	-0.000395
0.200000	-7.002673	-0.436476	0.000122	-0.000400
0.201000	-5.058380	-9.578082	0.000124	-0.000404
0.202000	-5.058380	-9.578082	0.000125	-0.000409
0.203000	-5.058380	-9.578082	0.000126	-0.000413
0.204000	-8.338139	6.217597	0.000128	-0.000418
0.205000	-32.428253	128.981535	0.000129	-0.000423
0.206000	-5.058380	-9.578082	0.000130	-0.000428
0.207000	-6.221903	-3.311127	0.000132	-0.000432
0.208000	-8.693113	10.083664	0.000133	-0.000437
0.209000	-6.600750	-2.175575	0.000134	-0.000442
0.210000	-7.645687	3.561415	0.000136	-0.000447
0.211000	-7.173407	3.266805	0.000137	-0.000452
0.212000	-5.058380	-9.578082	0.000139	-0.000457
0.213000	-6.838189	-0.043666	0.000140	-0.000461
0.214000	-5.058380	-9.578082	0.000142	-0.000466
0.215000	-10.974565	18.522225	0.000143	-0.000471
0.216000	-5.058380	-9.578082	0.000145	-0.000476
0.217000	-6.776617	0.015103	0.000146	-0.000481
0.218000	-6.602248	-1.302729	0.000148	-0.000486
0.219000	-7.852007	5.898318	0.000149	-0.000492
0.220000	-32.086544	126.316594	0.000151	-0.000497
0.221000	-6.942145	-0.087035	0.000152	-0.000502
0.222000	-10.785193	19.089193	0.000154	-0.000507
0.223000	-9.493690	10.070352	0.000155	-0.000512
0.224000	-12.839652	37.000559	0.000157	-0.000517
0.225000	-7.620154	3.430825	0.000159	-0.000523
0.226000	-27.286359	119.857758	0.000160	-0.000528
0.227000	-14.198631	37.263739	0.000162	-0.000533
0.228000	-13.531539	37.425638	0.000164	-0.000539
0.229000	-5.058380	-9.578082	0.000165	-0.000544
0.230000	-5.058380	-9.578082	0.000167	-0.000549
0.231000	-6.838717	-0.180483	0.000169	-0.000555
0.232000	-8.158388	6.488936	0.000170	-0.000560
0.233000	-13.467782	38.208576	0.000172	-0.000566
0.234000	-7.086346	2.975986	0.000174	-0.000571
0.235000	-7.551486	3.507273	0.000176	-0.000577
0.236000	-5.058380	-9.578082	0.000177	-0.000582
0.237000	-8.982516	10.856244	0.000179	-0.000588
0.238000	-6.644562	-1.232141	0.000181	-0.000593
0.239000	-9.204252	10.806832	0.000183	-0.000599
0.240000	-10.092479	18.912412	0.000185	-0.000605
0.241000	-29.024668	124.443190	0.000187	-0.000610
0.242000	-8.574690	10.216978	0.000188	-0.000616
0.243000	-7.974364	6.154363	0.000190	-0.000622
0.244000	-9.216744	10.331715	0.000192	-0.000628
0.245000	-6.426528	-2.674483	0.000194	-0.000633
0.246000	-6.774254	-0.174498	0.000196	-0.000639
0.247000	-6.102901	-3.404523	0.000198	-0.000645
0.248000	-6.349960	-2.768870	0.000200	-0.000651
0.249000	-29.582152	125.148961	0.000202	-0.000657
0.250000	-5.058380	-9.578082	0.000204	-0.000663
0.251000	-5.058380	-9.578082	0.000206	-0.000669
