abs time (s)	Fx	Fy	Fz	|Ft|	Fx12	Fx34	Fy14	Fy23	Fz1	Fz2	Fz3	Fz4	Mx	My	Mz	Tz	Ax	Ay
	N	N	N	N	N	N	N	N	N	N	N	N	N m	N m	N m	N m	m	m
0.470000	0.189882	-1.506603	745.265546	745.267093	-4.645805	4.835688	-8.802090	7.295487	303.576630	-5.075572	340.998474	105.766014	-29.584890	-8.801825	-0.035411	-0.025155	0.011810	-0.039697
0.480000	0.286310	-1.586413	745.413922	745.415665	-4.549378	4.835688	-8.881900	7.295487	303.576630	-5.075572	341.617798	105.295067	-29.610974	-8.666653	-0.064273	-0.057202	0.011627	-0.039724
0.490000	0.156785	-1.586622	746.052299	746.054003	-4.613663	4.770448	-8.977671	7.391048	303.895203	-4.594475	341.927460	104.824112	-29.418772	-8.559305	-0.087424	-0.075404	0.011473	-0.039433
0.500000	0.123687	-1.459172	745.742759	745.744197	-4.581521	4.705208	-8.961709	7.502537	304.054474	-4.594475	341.772614	104.510147	-29.298891	-8.560812	-0.118364	-0.106473	0.011480	-0.039288
0.510000	0.171901	-1.331652	747.294177	747.295383	-4.533307	4.705208	-8.913823	7.582171	303.735901	-4.434110	343.011292	104.981094	-29.678196	-8.409042	-0.131816	-0.123659	0.011253	-0.039714
0.520000	0.123687	-1.363716	744.950175	744.951434	-4.581521	4.705208	-9.009595	7.645879	303.735901	-4.434110	342.237122	103.411263	-29.207953	-8.315733	-0.141311	-0.130938	0.011163	-0.039208
0.530000	0.107139	-1.188415	745.086449	745.087405	-4.565449	4.672588	-8.961709	7.773294	303.895203	-4.915206	343.166138	102.940315	-29.371814	-8.225330	-0.160593	-0.151697	0.011039	-0.039421
0.540000	0.204998	-1.140668	744.779243	744.780145	-4.565449	4.770448	-8.977671	7.837002	303.895203	-4.594475	343.166138	102.312378	-29.184229	-8.107086	-0.150581	-0.146198	0.010885	-0.039185
0.550000	0.189405	-1.124846	744.463256	744.464130	-4.613663	4.803068	-9.025557	7.900710	304.054474	-4.594475	343.475800	101.527458	-29.058035	-7.995550	-0.147806	-0.143118	0.010740	-0.039032
0.560000	0.237618	-1.077171	745.233890	745.234706	-4.565449	4.803068	-9.073442	7.996272	303.576630	-4.434110	344.249939	101.841431	-29.341299	-7.861575	-0.174662	-0.172655	0.010549	-0.039372
0.570000	0.174289	-1.093132	743.510162	743.510986	-4.694019	4.868308	-9.089404	7.996272	303.576630	-4.594475	343.785461	100.742546	-29.059981	-7.807540	-0.137816	-0.133149	0.010501	-0.039085
0.580000	0.062268	-1.125196	742.862602	742.863457	-4.838659	4.900928	-9.185176	8.059979	303.258087	-4.594475	344.869293	99.329697	-29.056443	-7.474754	-0.121501	-0.112615	0.010062	-0.039114
0.590000	0.110959	-1.252962	743.324485	743.325550	-4.822588	4.933547	-9.344795	8.091833	302.780243	-4.594475	345.024109	100.114609	-29.334208	-7.490833	-0.141168	-0.132920	0.010077	-0.039464
0.600000	0.079533	-1.364696	745.039935	745.041189	-4.902944	4.982477	-9.456529	8.091833	303.098816	-4.434110	346.417603	99.957626	-29.480695	-7.325175	-0.128719	-0.118449	0.009832	-0.039569
0.610000	0.016203	-1.332911	744.708331	744.709524	-5.031514	5.047717	-9.488452	8.155540	302.620972	-4.434110	347.191772	99.329697	-29.606942	-7.102432	-0.101433	-0.089365	0.009537	-0.039756
0.620000	-0.014506	-1.317195	744.555819	744.556984	-5.160083	5.145577	-9.584224	8.267029	302.461700	-4.113378	347.191772	99.015724	-29.512562	-7.008537	-0.081018	-0.068044	0.009413	-0.039638
0.630000	-0.191528	-1.285480	745.617686	745.618819	-5.320795	5.129267	-9.648071	8.362591	302.302399	-4.434110	349.204620	98.544777	-29.918376	-6.737819	-0.071267	-0.051966	0.009037	-0.040126
0.640000	-0.254858	-1.381356	746.243032	746.244354	-5.449365	5.194507	-9.791728	8.410372	302.461700	-3.953013	350.288452	97.445892	-29.782972	-6.440127	-0.055478	-0.033385	0.008630	-0.039911
